,0
1105,1604830
1106,1604827
1107,1604824
1108,1604810
1109,1604793
1110,1604791
1111,1604778
1112,1604774
1113,1604773
1114,1604768
1115,1604767
1116,1604758
1117,1604755
1118,1604744
1119,1604739
1120,1604726
1121,1604720
1122,1604706
1123,1604698
1124,1604681
1125,1604680
1126,1604678
1127,1604674
1128,1604667
1129,1604659
1130,1604649
1131,1604642
1132,1604640
1133,1604621
1134,1604597
1135,1604594
1136,1604592
1137,1604576
1138,1604529
1139,1604519
1140,1604494
1141,1604489
1142,1604488
1143,1604486
1144,1604485
1145,1604464
1146,1604460
1147,1604451
1148,1604449
1149,1604421
1150,1604413
1151,1604390
1152,1604383
1153,1604364
1154,1604344
1155,1604266
1156,1604261
1157,1604217
1158,1604215
1159,1604214
1160,1604209
1161,1604201
1162,1604170
1163,1604162
1164,1604158
1165,1604138
1166,1604133
1167,1604131
1168,1604086
1169,1604084
1170,1604074
1171,1604055
1172,1604052
1173,1604002
1174,1604001
1175,1604000
1176,1603979
1177,1603965
1178,1603961
1179,1603959
1180,1603916
1181,1603911
1182,1603890
1183,1603881
1184,1603879
1185,1603873
1186,1603854
1187,1603836
1188,1603832
1189,1603821
1190,1603814
1191,1603795
1192,1603788
1193,1603787
1194,1603783
1195,1603749
1196,1603742
1197,1603727
1198,1603719
1199,1603716
1200,1603694
1201,1603693
1202,1603687
1203,1603679
1204,1603673
1205,1603671
1206,1603670
1207,1603652
1208,1603642
1209,1603627
1210,1603624
1211,1603609
1212,1603607
1213,1603595
1214,1603591
1215,1603586
1216,1603579
1217,1603574
1218,1603573
1219,1603568
1220,1603567
1221,1603557
1222,1603528
1223,1603526
1224,1603525
1225,1603521
1226,1603515
1227,1603499
1228,1603492
1229,1603489
1230,1603453
1231,1603447
1232,1603441
1233,1603431
1234,1603419
1235,1603403
1236,1603394
1237,1603389
1238,1603379
1239,1603376
1240,1603368
1241,1603359
1242,1603357
1243,1603356
1244,1603355
1245,1603353
1246,1603348
1247,1603345
1248,1603343
1249,1603340
1250,1603338
1251,1603332
1252,1603329
1253,1603324
1254,1603323
1255,1603306
1256,1603299
1257,1603292
1258,1603287
1259,1603274
1260,1603266
1261,1603262
1262,1603261
1263,1603253
1264,1603238
1265,1603228
1266,1603215
1267,1603203
1268,1603190
1269,1603189
1270,1603185
1271,1603176
1272,1603166
1273,1603165
1274,1603160
1275,1603128
1276,1603124
1277,1603118
1278,1603116
1279,1603113
1280,1603101
1281,1603099
1282,1603098
1283,1603089
1284,1603083
1285,1603077
1286,1603075
1287,1603063
1288,1603062
1289,1603051
1290,1603049
1291,1603043
1292,1603036
1293,1603034
1294,1603015
1295,1603003
1296,1602996
1297,1602951
1298,1602949
1299,1602935
1300,1602918
1301,1602917
1302,1602908
1303,1602845
1304,1602834
1305,1602828
1306,1602807
1307,1602804
