90,2014 HONDA,ACCORD,LX Sedan 4D,"4-Cyl, I-VTEC, 2.4 Liter",27 City / 36 Hwy,White,Tan,"Auto, CVT W/Sport Mode",4 Door Sedan,1,"$13,590","| 86,438 miles"
91,2013 HYUNDAI,ELANTRA,GT Hatchback 4D,"4-Cyl, 1.8 Liter",27 City / 37 Hwy,White,Beige,"Auto, 6-Spd W/Shftrnc",4 Door Hatchback,1,"$12,590","| 46,587 miles"
92,2012 CADILLAC,SRX,Sport Utility 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 24 Hwy,White,Beige,"Auto, 6-Spd W/TAPshift",4 Door SUV,1,"$14,990","| 73,000 miles"
93,2014 CHEVROLET,CRUZE,LTZ Sedan 4D,"4-Cyl, ECOTEC, 1.4T",26 City / 38 Hwy,Green,Black,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$11,990","| 67,234 miles"
94,2017 LINCOLN,MKX,Reserve Sport Utility 4D,"V6, 3.7 Liter",17 City / 25 Hwy,Blue,Cappuccino Luxury Lthr Trim,"Auto, 6-Spd SelShft",4 Door SUV,1,"$23,990","| 55,658 miles"
95,2018 NISSAN,VERSA,SV Sedan 4D,"4-Cyl, 1.6 Liter",31 City / 39 Hwy,Gray,Charcoal,"Automatic, CVT W/Xtronic",4 Door Sedan,1,"$11,590","| 56,397 miles"
96,2010 HONDA,ACCORD,EX Sedan 4D,"4-Cyl, I-VTEC, 2.4 Liter",21 City / 31 Hwy,Black,Black,"Automatic, 5-Spd W/Overdrive",4 Door Sedan,1,"$12,990","| 45,981 miles"
97,2014 AUDI,A5,Premium Plus Coupe 2D,"4-Cyl, Turbo, 2.0 Liter",20 City / 29 Hwy,Black,Black,"Auto, 8-Spd Tiptronic",2 Door Coupe,1,"$22,590","| 39,140 miles"
98,2016 MAZDA,CX-5,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.5L",26 City / 33 Hwy,Blue,Black,"Auto, 6-Spd Manual Spt",4 Door SUV,2,"$17,990","| 31,967 miles"
99,2013 HONDA,CIVIC,Si Coupe 2D,"4-Cyl, I-VTEC, 2.4 Liter",22 City / 31 Hwy,Orange,Black,"Manual, 6-Spd Close Ratio",2 Door Coupe,1,"$16,590","| 51,017 miles"
100,2019 DODGE,GRAND CARAVAN PASSENGER,GT Minivan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 25 Hwy,Gray,Black Interior Color,"Automatic, 6-Spd",4 Door Minivan,1,"$17,590","| 56,249 miles"
101,2016 HYUNDAI,SONATA,SE Sedan 4D,"4-Cyl, 2.4 Liter",25 City / 38 Hwy,Silver,Beige,"Auto, 6-Spd W/Shiftronic & Drive Mode Select",4 Door Sedan,1,"$12,590","| 79,660 miles"
102,2016 NISSAN,ALTIMA,2.5 Sedan 4D,"4-Cyl, 2.5 Liter",27 City / 39 Hwy,Black,Other,"Automatic, Xtronic CVT",4 Door Sedan,1,"$14,990","| 36,339 miles"
103,2019 MITSUBISHI,OUTLANDER,SE Sport Utility 4D,"4-Cyl, 2.4 Liter",24 City / 29 Hwy,Black,Other,"Automatic, CVT",4 Door SUV,1,"$18,990","| 20,977 miles"
104,2014 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",30 City / 39 Hwy,Black,Other,"Automatic, CVT",4 Door Sedan,1,"$13,590","| 52,546 miles"
105,2014 KIA,SPORTAGE,LX Sport Utility 4D,"4-Cyl, GDI, 2.4 Liter",21 City / 28 Hwy,Brown,Black,"Auto, 6-Spd W/Sportmatic",4 Door SUV,2,"$15,990","| 30,948 miles"
106,2014 VOLKSWAGEN,BEETLE,1.8T Entry Hatchback 2D,"4-Cyl, PZEV, 1.8T",25 City / 33 Hwy,Gray,Black,"Auto, 6-Spd Tiptronic",2 Door Hatchback,1,"$11,990","| 62,557 miles"
107,2013 LEXUS,IS,IS 250 Sedan 4D,"V6, 2.5 Liter",21 City / 30 Hwy,White,Beige,"Automatic, 6-Spd",4 Door Sedan,1,"$17,990","| 79,538 miles"
108,2015 CHRYSLER,200,LX Sedan 4D,"4-Cyl, MultiAir, 2.4L",23 City / 36 Hwy,Gray,Black,"Automatic, 9-Spd",4 Door Sedan,1,"$11,990","| 65,192 miles"
